"Agent_ID","Cluster","Team_Size","Sprint_Length_Weeks","Commit_Frequency_Per_Day","Security_Debt","Vulnerabilities_Open","Automated_Scan_Coverage","Predicted_Security_Debt","Residual_Error"
64,"Cluster 2",27,2,10,43.84,19,59,43.53,0.31
65,"Cluster 3",46,1,3,79.45,36,35,79.01,0.44
66,"Cluster 1",8,2,11,17.79,12,79,21.7,-3.91
67,"Cluster 3",53,3,5,71.42,31,42,71.73,-0.31
68,"Cluster 3",51,2,1,64.49,29,50,68.15,-3.66
69,"Cluster 3",48,2,2,91.11,39,30,84.52,6.59
70,"Cluster 1",10,3,17,16.14,10,87,17.65,-1.51
71,"Cluster 3",52,2,5,74.42,33,52,72.04,2.38
72,"Cluster 1",8,2,14,11.25,7,99,13.89,-2.64
73,"Cluster 1",13,2,12,20.85,12,83,21.88,-1.03
74,"Cluster 2",33,2,10,33.84,18,81,37.08,-3.24
75,"Cluster 1",7,3,13,20.86,12,91,19.53,1.33
76,"Cluster 2",31,3,12,49.79,22,60,47.39,2.4
77,"Cluster 2",26,3,8,39.17,17,71,38.59,0.58
78,"Cluster 1",11,2,14,13.77,7,91,15.01,-1.24
79,"Cluster 2",22,4,6,48.37,21,64,45.59,2.78
80,"Cluster 2",23,1,7,46.45,23,64,47.57,-1.12
81,"Cluster 2",22,3,9,40.25,19,73,41.08,-0.83
82,"Cluster 1",8,1,15,24.96,12,81,24.09,0.87
83,"Cluster 1",18,2,15,12.89,10,93,17.65,-4.76
84,"Cluster 3",53,1,1,83.67,35,41,78.04,5.63
85,"Cluster 2",24,1,8,43.73,19,68,43.18,0.55
86,"Cluster 1",14,4,15,19.43,9,87,17.84,1.59
87,"Cluster 3",51,2,3,66.95,31,46,70.19,-3.24
88,"Cluster 3",48,2,2,70.88,29,50,70.75,0.13
89,"Cluster 3",53,2,1,72.84,31,39,73.71,-0.87
90,"Cluster 2",25,2,12,41.02,21,61,44.23,-3.21
91,"Cluster 2",25,2,8,38.97,19,71,40.92,-1.95
92,"Cluster 1",5,2,16,21.32,12,88,20.48,0.84
93,"Cluster 2",27,2,8,58.8,24,53,50.58,8.22
94,"Cluster 1",10,2,12,8.91,8,90,14.62,-5.71
95,"Cluster 2",25,2,5,32.33,16,79,34.99,-2.66
96,"Cluster 2",22,2,8,40.2,20,69,43.48,-3.28
97,"Cluster 3",57,2,2,68.25,28,53,68.31,-0.06
98,"Cluster 2",23,2,10,44.51,19,73,41.37,3.14
99,"Cluster 1",12,2,16,13.55,8,91,15.1,-1.55
100,"Cluster 1",10,2,12,26.42,14,78,25.19,1.23
101,"Cluster 1",7,2,15,13.76,6,76,18.5,-4.74
102,"Cluster 2",28,1,13,46.5,20,61,44.02,2.48
103,"Cluster 1",18,1,13,36.99,18,69,37.54,-0.55
104,"Cluster 3",51,1,1,76.37,35,48,74.85,1.52
105,"Cluster 1",10,3,18,19.02,9,77,20.18,-1.16
106,"Cluster 3",51,1,6,84.92,38,36,81.06,3.86
107,"Cluster 3",46,2,1,76.8,32,43,74.54,2.26
108,"Cluster 1",7,2,16,21.6,11,92,19.74,1.86
109,"Cluster 1",7,2,15,23.64,14,83,23.86,-0.22
110,"Cluster 2",22,4,7,37.12,17,71,38.62,-1.5
111,"Cluster 3",51,2,4,73.86,31,47,70.6,3.26
112,"Cluster 2",27,1,8,40.16,16,71,39.94,0.22
113,"Cluster 2",29,3,10,41.32,19,66,41.32,0
114,"Cluster 3",47,2,4,68.47,31,54,67.74,0.73
115,"Cluster 1",12,2,13,17.77,9,87,17.78,-0.01
116,"Cluster 2",24,2,7,48.09,23,58,48.71,-0.62
117,"Cluster 1",16,2,15,22,14,86,22.2,-0.2
118,"Cluster 3",47,2,5,69.65,32,36,73.94,-4.29
119,"Cluster 1",15,3,16,5.74,6,92,11.47,-5.73
120,"Cluster 1",11,1,17,22.63,12,81,23.51,-0.88
121,"Cluster 1",13,2,13,24.8,13,81,23.57,1.23
122,"Cluster 2",24,2,8,39.09,19,70,41.03,-1.94
123,"Cluster 2",23,2,13,50.74,22,65,46.67,4.07
124,"Cluster 2",27,3,7,44.58,19,54,44.98,-0.4
125,"Cluster 2",23,2,11,36.38,18,68,41.22,-4.84
126,"Cluster 3",60,1,2,74.7,32,32,75.37,-0.67
127,"Cluster 2",26,2,9,44.42,22,59,47.36,-2.94
128,"Cluster 2",23,3,11,40.39,18,67,39.04,1.35
129,"Cluster 2",24,2,8,43.03,18,67,42.16,0.87
130,"Cluster 1",8,2,17,14.92,10,90,16.77,-1.85
131,"Cluster 1",10,2,16,14.25,9,96,15.53,-1.28
132,"Cluster 3",50,2,4,73.01,33,37,76.23,-3.22
133,"Cluster 1",12,2,15,18,8,82,18.41,-0.41
134,"Cluster 1",4,2,17,22.09,14,90,19.98,2.11
135,"Cluster 1",11,2,13,28.05,13,77,25.51,2.54
136,"Cluster 1",12,2,15,16.54,8,83,18.34,-1.8
137,"Cluster 3",50,2,3,70.76,32,46,71.09,-0.33
138,"Cluster 3",54,3,2,70.06,30,33,73.33,-3.27
139,"Cluster 3",49,2,7,87.39,39,26,82.53,4.86
140,"Cluster 1",10,2,18,16.08,9,89,15.83,0.25
141,"Cluster 2",27,2,10,40.45,19,71,41.52,-1.07
142,"Cluster 1",13,2,17,14.07,8,90,15.14,-1.07
143,"Cluster 2",26,2,9,42.44,21,65,45.21,-2.77
144,"Cluster 2",27,2,5,31.96,16,66,37.82,-5.86
145,"Cluster 3",51,2,1,69.04,28,43,70.17,-1.13
146,"Cluster 2",28,1,10,38.38,17,71,40.7,-2.32
147,"Cluster 2",22,2,8,56.72,23,54,50.77,5.95
148,"Cluster 2",19,1,7,43.14,18,71,42.16,0.98
149,"Cluster 2",23,2,11,49.84,23,57,47.85,1.99
150,"Cluster 1",12,3,16,21.1,10,85,20,1.1
151,"Cluster 3",53,1,4,78.74,35,43,76.8,1.94
152,"Cluster 1",7,2,16,13.37,9,90,16.13,-2.76
153,"Cluster 2",27,2,7,49.52,20,61,47.29,2.23
154,"Cluster 2",28,2,11,47.56,23,68,45.91,1.65
155,"Cluster 2",28,2,9,48.67,24,61,48.55,0.12
156,"Cluster 2",26,2,10,45.29,19,63,43.84,1.45
157,"Cluster 1",9,2,15,19.17,9,78,20.69,-1.52
158,"Cluster 2",25,2,6,43.41,18,64,43.64,-0.23
159,"Cluster 1",12,3,15,30.64,16,76,28.5,2.14
160,"Cluster 2",25,2,6,46.95,23,67,46.77,0.18
161,"Cluster 1",8,1,13,18.07,8,88,17.28,0.79
162,"Cluster 2",27,2,8,37.68,18,70,39.37,-1.69
163,"Cluster 1",14,2,16,16.98,8,84,18.31,-1.33
164,"Cluster 2",26,3,5,40.93,19,69,40.56,0.37
165,"Cluster 2",23,4,12,33.04,15,75,34.54,-1.5
166,"Cluster 1",13,2,14,27.35,14,69,27.7,-0.35
167,"Cluster 1",8,2,14,23.73,12,80,23.44,0.29
168,"Cluster 2",19,2,5,50.03,24,58,49.44,0.59
169,"Cluster 1",9,2,14,28.76,16,69,30.05,-1.29
170,"Cluster 2",23,2,9,38,19,71,41.23,-3.23
171,"Cluster 1",10,3,13,11.4,9,95,15.42,-4.02
172,"Cluster 2",31,2,5,44.98,19,66,43.83,1.15
173,"Cluster 3",56,1,5,75.66,31,34,74.96,0.7
174,"Cluster 1",9,1,17,27.83,15,80,25.91,1.92
175,"Cluster 1",9,2,18,12.08,5,86,15.76,-3.68
176,"Cluster 1",12,2,14,12.43,10,93,16.31,-3.88
177,"Cluster 2",26,1,9,47.53,20,65,44.59,2.94
178,"Cluster 1",4,1,15,19.11,8,79,20.22,-1.11
179,"Cluster 3",49,3,5,68.56,27,49,67.98,0.58
180,"Cluster 1",6,2,17,22.71,12,79,22.93,-0.22
181,"Cluster 3",47,2,4,71.01,33,44,72.87,-1.86
182,"Cluster 2",29,2,11,48.47,24,60,48.39,0.08
183,"Cluster 1",10,1,13,23.47,10,83,21.54,1.93
184,"Cluster 2",26,3,8,48.05,22,65,45.3,2.75
185,"Cluster 1",10,1,16,26.24,12,76,24.74,1.5
186,"Cluster 1",15,2,17,19.98,13,83,21.98,-2
187,"Cluster 2",27,1,9,35.49,19,58,41.22,-5.73
188,"Cluster 1",11,2,16,6.99,4,91,12.65,-5.66
189,"Cluster 3",50,1,2,83.24,34,35,79.51,3.73
190,"Cluster 3",46,1,1,64.55,29,48,68.96,-4.41
191,"Cluster 2",31,3,10,48.44,21,59,45.52,2.92
192,"Cluster 2",27,1,11,50.21,24,62,49.3,0.91
193,"Cluster 3",47,1,4,79.38,36,39,78.06,1.32
194,"Cluster 1",9,2,16,19.54,10,80,21.4,-1.86
195,"Cluster 3",49,2,1,67.09,30,37,72.54,-5.45
196,"Cluster 1",5,2,14,26.62,15,78,25.69,0.93
197,"Cluster 1",14,3,16,23.97,10,77,22.3,1.67
198,"Cluster 1",12,4,15,16.48,7,92,16.41,0.07
199,"Cluster 2",27,4,6,38.35,17,64,41.28,-2.93
200,"Cluster 1",11,3,17,25.36,10,79,21.86,3.5
201,"Cluster 2",23,1,6,43.16,20,71,43.77,-0.61
202,"Cluster 3",56,3,1,77.2,33,43,75.39,1.81
203,"Cluster 1",9,3,17,10.65,9,90,15.27,-4.62
204,"Cluster 1",12,2,16,18.34,8,84,18.8,-0.46
205,"Cluster 1",10,2,14,18.3,10,85,19.77,-1.47
206,"Cluster 3",51,2,1,84.19,37,36,80.26,3.93
207,"Cluster 2",30,2,8,47.56,24,64,48.19,-0.63
208,"Cluster 2",28,2,8,43.9,21,69,44.03,-0.13
209,"Cluster 2",28,3,8,46.67,21,63,44.67,2
210,"Cluster 2",30,2,9,44.63,18,64,43.65,0.98
211,"Cluster 1",10,3,13,15.45,7,92,15.51,-0.06
212,"Cluster 2",21,2,6,47.55,24,65,47.27,0.28
213,"Cluster 2",23,1,8,50.96,23,57,49.01,1.95
214,"Cluster 1",7,2,15,25.49,11,80,23.09,2.4
215,"Cluster 2",29,2,7,40.81,21,59,45.79,-4.98
216,"Cluster 1",12,2,15,21.15,9,81,19.21,1.94
217,"Cluster 2",23,1,5,50.11,23,56,49.19,0.92
218,"Cluster 1",11,4,14,15.56,7,91,15.87,-0.31
219,"Cluster 3",44,2,2,75.76,32,40,74.79,0.97
220,"Cluster 3",50,2,7,73.03,32,46,71.64,1.39
221,"Cluster 2",24,2,7,48.94,23,52,49.84,-0.9
222,"Cluster 3",49,4,5,89.87,38,33,82.36,7.51
223,"Cluster 1",13,2,16,25.42,14,77,24.77,0.65
224,"Cluster 1",5,3,17,19.97,11,84,19.58,0.39
225,"Cluster 2",23,3,9,64.74,29,47,60.11,4.63
226,"Cluster 2",25,2,11,47.69,24,66,47.39,0.3
227,"Cluster 1",4,3,12,16.96,8,86,16.49,0.47
228,"Cluster 1",9,2,17,28.21,12,80,24.15,4.06
229,"Cluster 1",6,3,18,17.15,7,92,16.49,0.66
230,"Cluster 3",48,3,1,63.71,26,48,66.09,-2.38
231,"Cluster 1",4,1,18,18.92,11,81,20.72,-1.8
232,"Cluster 1",5,3,15,15.04,6,78,17.74,-2.7
233,"Cluster 1",13,2,16,20.03,12,81,21.94,-1.91
234,"Cluster 2",24,1,10,51.26,24,67,47.37,3.89
235,"Cluster 2",23,2,8,51.08,24,64,48.28,2.8
236,"Cluster 2",29,2,7,50.27,23,67,47.52,2.75
237,"Cluster 2",26,3,7,49.98,22,56,48.16,1.82
238,"Cluster 3",52,2,1,70.1,32,45,71.94,-1.84
239,"Cluster 2",28,4,5,34.49,15,70,39.58,-5.09
240,"Cluster 3",52,2,2,71.84,32,43,73.3,-1.46
241,"Cluster 1",9,4,9,17.18,9,95,20.11,-2.93
242,"Cluster 1",7,3,18,18.99,9,91,17.33,1.66
243,"Cluster 2",22,1,6,60.46,27,52,56.16,4.3
244,"Cluster 1",9,3,13,17.72,12,86,19.26,-1.54
245,"Cluster 2",26,2,7,46.26,20,64,46.49,-0.23
246,"Cluster 1",4,2,13,11.49,7,91,14.94,-3.45
247,"Cluster 2",30,3,9,35.91,17,66,38.45,-2.54
248,"Cluster 3",50,2,2,79.94,34,38,79.46,0.48
249,"Cluster 3",50,4,3,71.67,33,47,71.24,0.43
250,"Cluster 1",7,3,14,12.53,8,91,15.12,-2.59
251,"Cluster 2",23,2,8,50.29,20,62,47.12,3.17
252,"Cluster 2",30,2,8,47.61,21,65,46.21,1.4
253,"Cluster 1",7,2,15,10.08,8,100,14,-3.92
254,"Cluster 2",21,3,10,46.03,19,63,44.23,1.8
255,"Cluster 1",8,1,19,19.61,12,74,23.15,-3.54
256,"Cluster 3",54,2,3,78.24,31,37,75.37,2.87
257,"Cluster 2",26,2,9,41.98,22,67,45.9,-3.92
258,"Cluster 1",13,2,17,23.06,10,82,20.74,2.32
259,"Cluster 1",12,2,18,13.59,9,90,15.42,-1.83
260,"Cluster 3",50,1,3,75.73,35,34,79.15,-3.42
261,"Cluster 3",46,3,3,71.07,31,51,71.03,0.04
262,"Cluster 3",51,2,3,77.29,34,31,79.6,-2.31
263,"Cluster 1",11,2,16,16.79,8,83,18.92,-2.13
264,"Cluster 3",49,2,5,72.8,32,44,72.45,0.35
265,"Cluster 1",6,2,15,28.98,13,78,24.96,4.02
266,"Cluster 1",13,2,18,11.7,8,96,14.44,-2.74
267,"Cluster 2",25,2,4,43.01,19,65,43.49,-0.48
268,"Cluster 2",27,3,11,33.71,17,67,37.62,-3.91
269,"Cluster 2",26,3,8,38.8,20,73,39.89,-1.09
270,"Cluster 1",7,1,13,17.68,11,78,23.33,-5.65
271,"Cluster 3",42,2,8,83.82,35,37,79.04,4.78
272,"Cluster 2",25,2,9,53.85,26,48,55.13,-1.28
273,"Cluster 2",28,2,5,42.89,18,65,43.19,-0.3
274,"Cluster 2",28,3,7,38,16,76,37.21,0.79
275,"Cluster 3",53,2,3,84.97,34,35,79.48,5.49
276,"Cluster 1",13,1,11,34.48,14,76,29.47,5.01
277,"Cluster 3",50,2,4,65.65,31,50,69.19,-3.54
278,"Cluster 1",13,3,12,27.7,11,74,25.37,2.33
279,"Cluster 2",21,2,10,52.89,22,61,46.92,5.97
280,"Cluster 1",7,2,15,19.09,12,88,20.19,-1.1
281,"Cluster 3",55,3,3,72.27,31,41,72.77,-0.5
282,"Cluster 2",17,2,6,48.08,20,69,44.88,3.2
283,"Cluster 2",32,2,10,38.76,18,70,40.6,-1.84
284,"Cluster 2",29,2,6,46.28,19,66,44.44,1.84
285,"Cluster 2",18,2,5,51.57,23,58,49.35,2.22
286,"Cluster 2",29,1,8,46.13,19,59,43.71,2.42
287,"Cluster 2",24,2,9,52.07,25,62,50.28,1.79
288,"Cluster 2",21,2,10,41.41,20,58,44.19,-2.78
289,"Cluster 2",29,2,10,40.11,18,70,41.05,-0.94
290,"Cluster 1",12,2,14,16.09,7,100,14.67,1.42
291,"Cluster 2",25,2,7,47.84,23,69,46.67,1.17
292,"Cluster 2",24,2,9,45.12,18,74,41.4,3.72
293,"Cluster 2",21,3,7,57.07,26,44,57.06,0.01
294,"Cluster 3",53,2,1,80.26,32,37,76.35,3.91
295,"Cluster 3",53,3,3,70.4,33,38,73.46,-3.06
296,"Cluster 3",53,2,1,77.69,32,42,74.9,2.79
297,"Cluster 3",51,2,2,83.55,34,38,79.95,3.6
298,"Cluster 2",23,2,11,45.72,23,71,45.23,0.49
299,"Cluster 2",22,2,8,50.55,22,53,50.44,0.11
300,"Cluster 3",50,1,4,76.53,34,36,79.14,-2.61
301,"Cluster 3",48,3,2,76.42,31,40,73.39,3.03
302,"Cluster 2",23,4,7,34.16,17,70,38.49,-4.33
303,"Cluster 3",47,1,4,78.92,35,35,78.92,0
304,"Cluster 1",13,2,15,12.96,9,93,15.18,-2.22
305,"Cluster 1",10,2,19,26.66,12,76,22.92,3.74
306,"Cluster 1",8,4,15,18.42,8,80,18.92,-0.5
307,"Cluster 2",22,1,9,42.55,18,61,42.43,0.12
308,"Cluster 2",25,3,10,44.74,22,63,45.32,-0.58
309,"Cluster 1",10,2,12,23.92,13,84,22.83,1.09
310,"Cluster 1",8,2,15,19.64,13,79,24.84,-5.2
311,"Cluster 2",24,3,10,42.92,21,66,42.5,0.42
312,"Cluster 1",11,2,16,19.58,10,86,19.28,0.3
313,"Cluster 1",13,1,18,14.08,10,90,16.2,-2.12
314,"Cluster 2",23,2,9,44.02,19,62,43.57,0.45
315,"Cluster 2",27,2,6,43.23,18,67,42.92,0.31
316,"Cluster 3",45,2,1,80.23,35,32,79.53,0.7
317,"Cluster 3",46,2,4,68.53,30,44,70.74,-2.21
318,"Cluster 2",18,2,8,37.05,16,66,39.11,-2.06
319,"Cluster 2",28,2,6,46.05,19,62,44.88,1.17
320,"Cluster 3",48,1,3,69.22,32,46,71.67,-2.45
321,"Cluster 3",49,2,5,77.33,35,40,77.04,0.29
322,"Cluster 2",22,2,7,43.5,19,67,42.78,0.72
323,"Cluster 2",25,1,6,40.4,18,74,41.28,-0.88
324,"Cluster 1",8,2,16,17.69,7,86,17.52,0.17
325,"Cluster 2",25,3,10,40.34,16,73,39.39,0.95
326,"Cluster 2",29,1,7,41.96,20,70,42.48,-0.52
327,"Cluster 3",49,3,2,72.46,31,29,75.15,-2.69
328,"Cluster 2",24,1,6,45.23,20,54,47.39,-2.16
329,"Cluster 2",28,2,4,35.02,17,73,38.11,-3.09
330,"Cluster 3",48,2,4,71.64,31,42,72.53,-0.89
331,"Cluster 1",11,4,16,29.8,13,78,26.26,3.54
332,"Cluster 2",25,2,6,31.46,16,78,35.33,-3.87
333,"Cluster 1",9,2,13,23.26,12,82,22.89,0.37
334,"Cluster 3",49,1,2,75.68,32,39,74.62,1.06
335,"Cluster 2",25,2,7,33.31,17,65,39.81,-6.5
336,"Cluster 1",9,3,16,19.04,9,87,17.71,1.33
337,"Cluster 1",13,3,14,16.84,10,87,17.71,-0.87
338,"Cluster 1",5,2,17,14.92,6,90,15.09,-0.17
339,"Cluster 1",10,1,14,17.02,9,87,18.56,-1.54
340,"Cluster 3",54,2,1,73.8,34,44,76.3,-2.5
341,"Cluster 1",17,3,14,17.22,10,93,17.22,0
342,"Cluster 2",23,2,7,48.99,20,64,46.17,2.82
343,"Cluster 1",10,4,14,22.34,9,85,18.3,4.04
344,"Cluster 2",24,2,6,49.22,20,68,44.89,4.33
345,"Cluster 1",9,2,15,25.46,12,75,24.09,1.37
346,"Cluster 2",26,1,7,53.68,24,52,51.77,1.91
347,"Cluster 3",47,3,6,70.34,31,47,70.75,-0.41
348,"Cluster 2",28,2,10,42.45,18,61,43.47,-1.02
349,"Cluster 2",23,2,8,45.3,21,59,46.71,-1.41
350,"Cluster 1",4,1,14,22.55,12,74,24.22,-1.67
351,"Cluster 2",21,2,5,44.33,19,68,43.49,0.84
352,"Cluster 3",53,2,2,68.82,28,47,68.85,-0.03
353,"Cluster 1",10,2,13,14.78,10,90,17.03,-2.25
354,"Cluster 2",27,2,6,47.26,20,65,45.8,1.46
355,"Cluster 1",9,2,17,19.76,11,90,19.45,0.31
356,"Cluster 3",49,1,3,70.72,31,42,72.59,-1.87
357,"Cluster 1",7,2,10,18.31,12,88,20.98,-2.67
358,"Cluster 1",9,1,16,24.13,13,84,23.87,0.26
359,"Cluster 2",20,2,11,45.02,21,66,45.13,-0.11
360,"Cluster 3",50,2,2,78.34,32,38,76.2,2.14
361,"Cluster 2",26,1,8,43.89,21,61,47.09,-3.2
362,"Cluster 2",28,2,11,58.2,25,44,54.54,3.66
363,"Cluster 3",50,2,5,80.28,37,30,80.34,-0.06
364,"Cluster 2",25,1,10,48.76,22,56,48.18,0.58
365,"Cluster 2",21,1,9,32.92,17,75,36.12,-3.2
366,"Cluster 3",47,4,2,84.41,34,35,80.64,3.77
367,"Cluster 2",29,2,8,46.98,23,60,48,-1.02
368,"Cluster 2",25,2,8,46.69,22,64,47.33,-0.64
369,"Cluster 1",8,3,12,16.78,11,87,18.59,-1.81
370,"Cluster 1",10,2,15,15.55,9,82,19.21,-3.66
371,"Cluster 1",4,2,15,25.89,14,85,23.56,2.33
372,"Cluster 2",27,2,8,49.45,21,60,47.5,1.95
373,"Cluster 3",51,2,6,79.8,33,31,77.76,2.04
374,"Cluster 1",10,3,14,38.13,20,68,34.19,3.94
375,"Cluster 1",9,3,15,15.74,7,89,15.6,0.14
376,"Cluster 3",51,1,7,80.03,35,29,79.32,0.71
377,"Cluster 3",47,3,1,65.46,31,45,70.1,-4.64
378,"Cluster 2",26,2,7,52.09,23,60,49.56,2.53
379,"Cluster 2",26,1,9,40.35,20,66,43.76,-3.41
380,"Cluster 3",46,3,6,78.8,34,41,77.18,1.62
381,"Cluster 1",9,2,14,16.81,7,90,15.53,1.28
382,"Cluster 3",51,2,1,63.86,30,50,68.52,-4.66
383,"Cluster 2",18,3,8,40.1,16,58,40.09,0.01
384,"Cluster 3",46,1,3,68.52,31,44,72.06,-3.54
385,"Cluster 1",5,2,14,16.22,10,95,16.69,-0.47
386,"Cluster 3",48,2,2,75.46,33,43,76.1,-0.64
387,"Cluster 2",22,2,8,61.41,26,51,54.87,6.54
388,"Cluster 2",31,2,7,48.98,21,56,47.77,1.21
389,"Cluster 2",23,2,8,52.29,21,62,47.39,4.9
390,"Cluster 2",29,1,7,40.83,17,67,41.52,-0.69
391,"Cluster 3",51,2,3,85.29,39,34,82.63,2.66
392,"Cluster 2",25,1,8,48.77,23,53,49.97,-1.2
393,"Cluster 1",10,2,13,16.9,7,88,16.71,0.19
394,"Cluster 3",50,1,5,79.16,33,35,77.06,2.1
395,"Cluster 2",21,2,10,43.32,20,57,44.09,-0.77
396,"Cluster 2",26,2,7,46.69,20,69,44.56,2.13
397,"Cluster 2",29,2,8,42.26,19,63,43.73,-1.47
398,"Cluster 2",31,2,8,53.99,25,50,52.43,1.56
399,"Cluster 2",31,3,7,45.69,21,58,45.52,0.17
400,"Cluster 3",52,3,3,83.65,35,36,78.79,4.86
401,"Cluster 3",48,2,2,78.45,34,41,77.05,1.4
402,"Cluster 2",24,2,10,44.85,20,72,43.21,1.64
403,"Cluster 3",56,2,4,78.69,36,40,77.62,1.07
404,"Cluster 1",8,1,14,21.73,9,86,19.38,2.35
405,"Cluster 2",29,3,7,56.89,25,47,54.82,2.07
406,"Cluster 1",9,1,14,25.67,15,75,26.19,-0.52
407,"Cluster 1",9,2,14,19.76,10,85,20.05,-0.29
408,"Cluster 2",26,3,7,45.82,22,69,43.99,1.83
409,"Cluster 2",18,2,4,51.75,23,53,51.31,0.44
410,"Cluster 1",8,1,16,27.9,15,67,27.71,0.19
411,"Cluster 2",26,2,10,48.77,23,66,47.16,1.61
412,"Cluster 3",46,1,1,85.43,38,33,80.72,4.71
413,"Cluster 2",22,1,8,51.87,25,60,50.82,1.05
414,"Cluster 1",13,2,17,20.13,13,87,19.82,0.31
415,"Cluster 2",26,2,7,50.06,20,57,47.51,2.55
416,"Cluster 2",28,1,11,41.18,17,67,41.56,-0.38
417,"Cluster 3",54,1,4,74.49,33,43,74.95,-0.46
418,"Cluster 2",23,2,5,37.49,16,73,37.44,0.05
419,"Cluster 1",9,1,19,12.78,5,100,14.7,-1.92
420,"Cluster 2",29,2,7,41.33,21,71,43.6,-2.27
421,"Cluster 1",15,3,13,14.48,10,81,17.93,-3.45
422,"Cluster 1",16,1,12,23.43,13,82,25.65,-2.22
423,"Cluster 1",3,2,14,19.75,12,85,21.68,-1.93
424,"Cluster 2",28,1,3,55.36,25,51,54.63,0.73
425,"Cluster 3",53,2,6,77.08,33,41,75.35,1.73
426,"Cluster 1",11,3,15,26.29,13,77,24.33,1.96
