"Finding_ID","Type","CVSS_Score","Remediation_Days","Exploitability_Index","Dependency_Depth","Cluster_Group","Severity"
"VULN-1033","DAST",8.1,53,0.95,0,"GAM Smooth Flow","High"
"VULN-1034","DAST",0.5,5,0.27,0,"GAM Smooth Flow","Low"
"VULN-1035","DAST",2.8,17,0.47,0,"GAM Smooth Flow","Low"
"VULN-1036","DAST",1.8,9,0.22,0,"GAM Smooth Flow","Low"
"VULN-1037","DAST",3,14,0.98,0,"GAM Smooth Flow","Low"
"VULN-1038","DAST",0.2,9,0.3,0,"GAM Smooth Flow","Low"
"VULN-1039","DAST",2.7,13,0.8,0,"GAM Smooth Flow","Low"
"VULN-1040","DAST",0.7,9,0.41,0,"GAM Smooth Flow","Low"
"VULN-1041","DAST",3.5,16,0.65,0,"GAM Smooth Flow","Low"
"VULN-1042","DAST",3.7,17,0.71,0,"GAM Smooth Flow","Low"
"VULN-1043","DAST",6.6,39,0.8,0,"GAM Smooth Flow","Medium"
"VULN-1044","DAST",5.8,34,0.58,0,"GAM Smooth Flow","Medium"
"VULN-1045","DAST",2.9,16,0.53,0,"GAM Smooth Flow","Low"
"VULN-1046","DAST",2.8,13,0.48,0,"GAM Smooth Flow","Low"
"VULN-1047","DAST",7.2,42,0.89,0,"GAM Smooth Flow","High"
"VULN-1048","DAST",1.3,6,0.06,0,"GAM Smooth Flow","Low"
"VULN-1049","DAST",3.4,18,0.45,0,"GAM Smooth Flow","Low"
"VULN-1050","DAST",5.5,29,0.86,0,"GAM Smooth Flow","Medium"
"VULN-1051","DAST",1.6,12,0.54,0,"GAM Smooth Flow","Low"
"VULN-1052","DAST",8.1,50,0.92,0,"GAM Smooth Flow","High"
"VULN-1053","DAST",9.3,61,1,0,"GAM Smooth Flow","Critical"
"VULN-1054","DAST",7.4,47,0.79,0,"GAM Smooth Flow","High"
"VULN-1055","DAST",7.9,50,0.91,0,"GAM Smooth Flow","High"
"VULN-1056","DAST",3.1,16,0.38,0,"GAM Smooth Flow","Low"
"VULN-1057","DAST",7.8,50,1,0,"GAM Smooth Flow","High"
"VULN-1058","DAST",2.3,13,0.33,0,"GAM Smooth Flow","Low"
"VULN-1059","DAST",5.9,32,0.8,0,"GAM Smooth Flow","Medium"
"VULN-1060","DAST",9.2,60,1,0,"GAM Smooth Flow","Critical"
"VULN-1061","DAST",3.6,17,0.73,0,"GAM Smooth Flow","Low"
"VULN-1062","DAST",9.4,66,1,0,"GAM Smooth Flow","Critical"
"VULN-1063","DAST",0.3,6,0.1,0,"GAM Smooth Flow","Low"
"VULN-1064","DAST",8.2,54,0.97,0,"GAM Smooth Flow","High"
"VULN-1065","DAST",4,19,0.82,0,"GAM Smooth Flow","Medium"
"VULN-1066","DAST",1,5,0.15,0,"GAM Smooth Flow","Low"
"VULN-1067","DAST",8.6,52,0.8,0,"GAM Smooth Flow","High"
"VULN-1068","DAST",0.5,5,0.01,0,"GAM Smooth Flow","Low"
"VULN-1069","DAST",0.3,6,0.17,0,"GAM Smooth Flow","Low"
"VULN-1070","DAST",5,26,0.59,0,"GAM Smooth Flow","Medium"
"VULN-1071","DAST",8.5,53,1,0,"GAM Smooth Flow","High"
"VULN-1072","DAST",4.7,21,0.74,0,"GAM Smooth Flow","Medium"
"VULN-1073","DAST",6.2,36,0.8,0,"GAM Smooth Flow","Medium"
"VULN-1074","DAST",0.2,4,0.29,0,"GAM Smooth Flow","Low"
"VULN-1075","DAST",8.6,54,1,0,"GAM Smooth Flow","High"
"VULN-1076","DAST",1.5,9,0.1,0,"GAM Smooth Flow","Low"
"VULN-1077","DAST",3.5,16,0.79,0,"GAM Smooth Flow","Low"
"VULN-1078","DAST",5.8,35,0.65,0,"GAM Smooth Flow","Medium"
"VULN-1079","DAST",3.6,21,0.68,0,"GAM Smooth Flow","Low"
"VULN-1080","DAST",4.9,24,0.95,0,"GAM Smooth Flow","Medium"
"VULN-1081","DAST",6.3,38,0.76,0,"GAM Smooth Flow","Medium"
"VULN-1082","DAST",0.4,1,0.24,0,"GAM Smooth Flow","Low"
"VULN-1083","DAST",7.7,48,0.81,0,"GAM Smooth Flow","High"
"VULN-1084","DAST",8.5,54,0.95,0,"GAM Smooth Flow","High"
"VULN-1085","DAST",3.7,21,0.4,0,"GAM Smooth Flow","Low"
"VULN-1086","DAST",8.7,55,0.99,0,"GAM Smooth Flow","High"
"VULN-1087","DAST",4.9,29,0.58,0,"GAM Smooth Flow","Medium"
"VULN-1088","DAST",2.3,10,0.43,0,"GAM Smooth Flow","Low"
"VULN-1089","DAST",6.9,40,1,0,"GAM Smooth Flow","Medium"
"VULN-1090","DAST",7.6,46,1,0,"GAM Smooth Flow","High"
"VULN-1091","DAST",3.3,19,0.37,0,"GAM Smooth Flow","Low"
"VULN-1092","DAST",4.1,22,0.84,0,"GAM Smooth Flow","Medium"
"VULN-1093","DAST",9.1,61,1,0,"GAM Smooth Flow","Critical"
"VULN-1094","DAST",3.1,14,0.36,0,"GAM Smooth Flow","Low"
"VULN-1095","DAST",2.8,16,0.45,0,"GAM Smooth Flow","Low"
"VULN-1096","DAST",0.8,4,0.35,0,"GAM Smooth Flow","Low"
"VULN-1097","DAST",5.6,28,0.84,0,"GAM Smooth Flow","Medium"
"VULN-1098","DAST",6.3,37,1,0,"GAM Smooth Flow","Medium"
"VULN-1099","DAST",7.8,52,0.98,0,"GAM Smooth Flow","High"
"VULN-1100","DAST",8.9,59,1,0,"GAM Smooth Flow","High"
"VULN-1101","DAST",6.8,34,0.97,0,"GAM Smooth Flow","Medium"
"VULN-1102","DAST",9.7,66,1,0,"GAM Smooth Flow","Critical"
"VULN-1103","DAST",7,41,1,0,"GAM Smooth Flow","High"
"VULN-1104","DAST",5.8,32,0.9,0,"GAM Smooth Flow","Medium"
"VULN-1105","DAST",0.3,5,0,0,"GAM Smooth Flow","Low"
"VULN-1106","DAST",1.5,13,0.52,0,"GAM Smooth Flow","Low"
"VULN-1107","DAST",7.4,45,1,0,"GAM Smooth Flow","High"
"VULN-1108","DAST",6.5,37,0.92,0,"GAM Smooth Flow","Medium"
"VULN-1109","DAST",2,10,0.27,0,"GAM Smooth Flow","Low"
"VULN-1110","DAST",5.4,29,0.54,0,"GAM Smooth Flow","Medium"
"VULN-1111","DAST",1.7,8,0.31,0,"GAM Smooth Flow","Low"
"VULN-1112","DAST",9.2,61,1,0,"GAM Smooth Flow","Critical"
"VULN-1113","DAST",6.3,35,1,0,"GAM Smooth Flow","Medium"
"VULN-1114","DAST",9.7,66,1,0,"GAM Smooth Flow","Critical"
"VULN-1115","DAST",4.4,27,0.96,0,"GAM Smooth Flow","Medium"
"VULN-1116","DAST",2.6,13,0.61,0,"GAM Smooth Flow","Low"
"VULN-1117","DAST",2.8,12,0.36,0,"GAM Smooth Flow","Low"
"VULN-1118","DAST",3.4,20,0.4,0,"GAM Smooth Flow","Low"
"VULN-1119","DAST",8.9,59,1,0,"GAM Smooth Flow","High"
"VULN-1120","DAST",0,1,0.38,0,"GAM Smooth Flow","Low"
"VULN-1121","DAST",0.3,5,0.17,0,"GAM Smooth Flow","Low"
"VULN-1122","DAST",9.9,71,1,0,"GAM Smooth Flow","Critical"
"VULN-1123","DAST",4.6,27,0.85,0,"GAM Smooth Flow","Medium"
"VULN-1124","DAST",0.8,8,0.44,0,"GAM Smooth Flow","Low"
"VULN-1125","DAST",2.5,13,0.5,0,"GAM Smooth Flow","Low"
"VULN-1126","DAST",3.7,20,0.63,0,"GAM Smooth Flow","Low"
"VULN-1127","DAST",5.5,32,0.73,0,"GAM Smooth Flow","Medium"
"VULN-1128","DAST",3.3,20,0.34,0,"GAM Smooth Flow","Low"
"VULN-1129","DAST",9.2,61,1,0,"GAM Smooth Flow","Critical"
"VULN-1130","DAST",9,58,1,0,"GAM Smooth Flow","Critical"
"VULN-1131","DAST",6.7,43,0.73,0,"GAM Smooth Flow","Medium"
"VULN-1132","DAST",4.4,21,0.36,0,"GAM Smooth Flow","Medium"
"VULN-1133","DAST",7.6,47,0.88,0,"GAM Smooth Flow","High"
"VULN-1134","DAST",8.7,55,0.91,0,"GAM Smooth Flow","High"
"VULN-1135","DAST",9.2,61,1,0,"GAM Smooth Flow","Critical"
"VULN-1136","DAST",0.3,6,0.05,0,"GAM Smooth Flow","Low"
"VULN-1137","DAST",0.3,3,0,0,"GAM Smooth Flow","Low"
"VULN-1138","DAST",9.6,62,1,0,"GAM Smooth Flow","Critical"
"VULN-1139","DAST",9.7,67,1,0,"GAM Smooth Flow","Critical"
"VULN-1140","DAST",7.3,41,0.67,0,"GAM Smooth Flow","High"
"VULN-1141","DAST",7.7,49,1,0,"GAM Smooth Flow","High"
"VULN-1142","DAST",5,28,0.69,0,"GAM Smooth Flow","Medium"
"VULN-1143","DAST",2.5,13,0.68,0,"GAM Smooth Flow","Low"
"VULN-1144","DAST",4.4,23,0.81,0,"GAM Smooth Flow","Medium"
"VULN-1145","DAST",8,51,1,0,"GAM Smooth Flow","High"
"VULN-1146","DAST",3.9,26,0.57,0,"GAM Smooth Flow","Low"
"VULN-1147","DAST",9.9,67,1,0,"GAM Smooth Flow","Critical"
"VULN-1148","DAST",0.8,6,0.12,0,"GAM Smooth Flow","Low"
"VULN-1149","DAST",6.3,38,0.93,0,"GAM Smooth Flow","Medium"
"VULN-1150","DAST",7.6,49,1,0,"GAM Smooth Flow","High"
"VULN-1151","DAST",4.6,24,0.48,0,"GAM Smooth Flow","Medium"
"VULN-1152","DAST",5.4,30,0.97,0,"GAM Smooth Flow","Medium"
"VULN-1153","DAST",3.2,17,0.38,0,"GAM Smooth Flow","Low"
"VULN-1154","DAST",5.7,31,0.88,0,"GAM Smooth Flow","Medium"
"VULN-1155","DAST",6.3,38,0.93,0,"GAM Smooth Flow","Medium"
"VULN-1156","DAST",6.2,35,0.84,0,"GAM Smooth Flow","Medium"
"VULN-1157","DAST",4.6,20,0.71,0,"GAM Smooth Flow","Medium"
"VULN-1158","DAST",2,11,0.38,0,"GAM Smooth Flow","Low"
"VULN-1159","DAST",0.2,3,0.35,0,"GAM Smooth Flow","Low"
"VULN-1160","DAST",2.7,18,0.52,0,"GAM Smooth Flow","Low"
"VULN-1161","DAST",7.9,49,0.91,0,"GAM Smooth Flow","High"
"VULN-1162","DAST",5.1,28,0.69,0,"GAM Smooth Flow","Medium"
"VULN-1163","DAST",7.2,43,0.85,0,"GAM Smooth Flow","High"
"VULN-1164","DAST",5.9,34,0.93,0,"GAM Smooth Flow","Medium"
"VULN-1165","DAST",6.5,37,0.9,0,"GAM Smooth Flow","Medium"
"VULN-1166","DAST",9.1,62,1,0,"GAM Smooth Flow","Critical"
"VULN-1167","DAST",3.1,14,0.55,0,"GAM Smooth Flow","Low"
"VULN-1168","DAST",7.8,49,1,0,"GAM Smooth Flow","High"
"VULN-1169","DAST",0.8,8,0.61,0,"GAM Smooth Flow","Low"
"VULN-1170","DAST",0.2,3,0.18,0,"GAM Smooth Flow","Low"
"VULN-1171","DAST",3.8,19,0.71,0,"GAM Smooth Flow","Low"
"VULN-1172","DAST",7.6,50,0.98,0,"GAM Smooth Flow","High"
"VULN-1173","DAST",5.7,29,0.83,0,"GAM Smooth Flow","Medium"
"VULN-1174","DAST",0.1,3,0.37,0,"GAM Smooth Flow","Low"
"VULN-1175","DAST",4.4,23,0.87,0,"GAM Smooth Flow","Medium"
"VULN-1176","DAST",7.1,44,0.68,0,"GAM Smooth Flow","High"
"VULN-1177","DAST",4.1,23,0.85,0,"GAM Smooth Flow","Medium"
"VULN-1178","DAST",0.8,6,0.15,0,"GAM Smooth Flow","Low"
"VULN-1179","DAST",1,7,0.31,0,"GAM Smooth Flow","Low"
"VULN-1180","DAST",0.6,6,0.06,0,"GAM Smooth Flow","Low"
"VULN-1181","DAST",5.1,27,0.68,0,"GAM Smooth Flow","Medium"
"VULN-1182","DAST",6.3,36,0.83,0,"GAM Smooth Flow","Medium"
"VULN-1183","DAST",8.9,61,1,0,"GAM Smooth Flow","High"
"VULN-1184","DAST",2.8,17,0.47,0,"GAM Smooth Flow","Low"
"VULN-1185","DAST",0.9,6,0.47,0,"GAM Smooth Flow","Low"
"VULN-1186","DAST",1.2,7,0.56,0,"GAM Smooth Flow","Low"
"VULN-1187","DAST",10,71,1,0,"GAM Smooth Flow","Critical"
"VULN-1188","DAST",1.4,11,0.29,0,"GAM Smooth Flow","Low"
"VULN-1189","DAST",2.5,14,0.33,0,"GAM Smooth Flow","Low"
"VULN-1190","DAST",4.7,30,0.63,0,"GAM Smooth Flow","Medium"
"VULN-1191","DAST",0.9,9,0.3,0,"GAM Smooth Flow","Low"
"VULN-1192","DAST",1.3,6,0.43,0,"GAM Smooth Flow","Low"
"VULN-1193","DAST",5.5,31,0.73,0,"GAM Smooth Flow","Medium"
"VULN-1194","DAST",3.1,16,0.42,0,"GAM Smooth Flow","Low"
"VULN-1195","DAST",4.6,19,0.79,0,"GAM Smooth Flow","Medium"
"VULN-1196","DAST",4.9,29,0.56,0,"GAM Smooth Flow","Medium"
"VULN-1197","DAST",5,26,0.63,0,"GAM Smooth Flow","Medium"
"VULN-1198","DAST",4.3,24,0.71,0,"GAM Smooth Flow","Medium"
"VULN-1199","DAST",4.9,23,0.71,0,"GAM Smooth Flow","Medium"
"VULN-1200","DAST",3.1,12,0.67,0,"GAM Smooth Flow","Low"
"VULN-1201","DAST",2.9,16,0.61,0,"GAM Smooth Flow","Low"
"VULN-1202","DAST",8,54,1,0,"GAM Smooth Flow","High"
"VULN-1203","DAST",4.3,25,0.56,0,"GAM Smooth Flow","Medium"
"VULN-1204","DAST",2.2,12,0.5,0,"GAM Smooth Flow","Low"
"VULN-1205","DAST",5.1,29,0.51,0,"GAM Smooth Flow","Medium"
"VULN-1206","DAST",7.8,46,1,0,"GAM Smooth Flow","High"
"VULN-1207","DAST",8.3,54,1,0,"GAM Smooth Flow","High"
"VULN-1208","DAST",9,60,1,0,"GAM Smooth Flow","Critical"
"VULN-1209","DAST",8.5,60,1,0,"GAM Smooth Flow","High"
"VULN-1210","DAST",3.3,18,0.32,0,"GAM Smooth Flow","Low"
"VULN-1211","DAST",9,58,1,0,"GAM Smooth Flow","Critical"
"VULN-1212","DAST",2.1,10,0.5,0,"GAM Smooth Flow","Low"
"VULN-1213","DAST",6.8,39,1,0,"GAM Smooth Flow","Medium"
"VULN-1214","DAST",6.7,40,1,0,"GAM Smooth Flow","Medium"
"VULN-1215","DAST",3.7,18,0.61,0,"GAM Smooth Flow","Low"
"VULN-1216","DAST",9.6,67,1,0,"GAM Smooth Flow","Critical"
"VULN-1217","DAST",4.3,26,0.48,0,"GAM Smooth Flow","Medium"
"VULN-1218","DAST",9.7,66,1,0,"GAM Smooth Flow","Critical"
"VULN-1219","DAST",8.5,55,1,0,"GAM Smooth Flow","High"
"VULN-1220","DAST",7.2,43,0.78,0,"GAM Smooth Flow","High"
"VULN-1221","DAST",10,66,1,0,"GAM Smooth Flow","Critical"
"VULN-1222","DAST",5.5,31,0.78,0,"GAM Smooth Flow","Medium"
"VULN-1223","DAST",2.4,12,0.38,0,"GAM Smooth Flow","Low"
"VULN-1224","DAST",8.7,57,1,0,"GAM Smooth Flow","High"
"VULN-1225","DAST",6.2,39,0.77,0,"GAM Smooth Flow","Medium"
"VULN-1226","DAST",6.5,38,0.96,0,"GAM Smooth Flow","Medium"
"VULN-1227","DAST",0.2,2,0.07,0,"GAM Smooth Flow","Low"
"VULN-1228","DAST",3.5,16,0.47,0,"GAM Smooth Flow","Low"
"VULN-1229","DAST",7.1,43,0.92,0,"GAM Smooth Flow","High"
"VULN-1230","DAST",4.4,24,0.65,0,"GAM Smooth Flow","Medium"
"VULN-1231","DAST",9.8,66,0.85,0,"GAM Smooth Flow","Critical"
"VULN-1232","DAST",8.7,58,1,0,"GAM Smooth Flow","High"
"VULN-1233","DAST",9.2,64,0.91,0,"GAM Smooth Flow","Critical"
"VULN-1234","DAST",0.7,8,0.3,0,"GAM Smooth Flow","Low"
"VULN-1235","DAST",1.2,10,0.3,0,"GAM Smooth Flow","Low"
"VULN-1236","DAST",6.7,37,0.96,0,"GAM Smooth Flow","Medium"
"VULN-1237","DAST",1.3,9,0.06,0,"GAM Smooth Flow","Low"
"VULN-1238","DAST",3.1,14,0.45,0,"GAM Smooth Flow","Low"
"VULN-1239","DAST",9.6,68,1,0,"GAM Smooth Flow","Critical"
"VULN-1240","DAST",5,28,0.81,0,"GAM Smooth Flow","Medium"
"VULN-1241","DAST",4.4,20,0.69,0,"GAM Smooth Flow","Medium"
"VULN-1242","DAST",7.1,45,1,0,"GAM Smooth Flow","High"
"VULN-1243","DAST",1.1,10,0.01,0,"GAM Smooth Flow","Low"
"VULN-1244","DAST",1.2,8,0.25,0,"GAM Smooth Flow","Low"
"VULN-1245","DAST",5.8,29,0.79,0,"GAM Smooth Flow","Medium"
"VULN-1246","DAST",9.1,58,1,0,"GAM Smooth Flow","Critical"
"VULN-1247","DAST",1.4,7,0.41,0,"GAM Smooth Flow","Low"
"VULN-1248","DAST",1.9,11,0.5,0,"GAM Smooth Flow","Low"
"VULN-1249","DAST",4.3,27,0.54,0,"GAM Smooth Flow","Medium"
"VULN-1250","DAST",9.1,61,1,0,"GAM Smooth Flow","Critical"
"VULN-1251","SCA",9.8,67,1,1,"GAM Smooth Flow","Critical"
"VULN-1252","SCA",3.2,17,0.29,2,"GAM Smooth Flow","Low"
"VULN-1253","SCA",3.8,17,0.61,3,"GAM Smooth Flow","Low"
"VULN-1254","SCA",9.4,63,1,1,"GAM Smooth Flow","Critical"
"VULN-1255","SCA",4.1,21,0.55,2,"GAM Smooth Flow","Medium"
"VULN-1256","SCA",8,51,1,5,"GAM Smooth Flow","High"
"VULN-1257","SCA",0.7,7,0.13,3,"GAM Smooth Flow","Low"
"VULN-1258","SCA",9.8,72,1,3,"GAM Smooth Flow","Critical"
"VULN-1259","SCA",3.5,18,0.77,1,"GAM Smooth Flow","Low"
"VULN-1260","SCA",3.7,18,0.46,4,"GAM Smooth Flow","Low"
"VULN-1261","SCA",8.7,58,0.8,2,"GAM Smooth Flow","High"
"VULN-1262","SCA",2.8,18,0.55,2,"GAM Smooth Flow","Low"
"VULN-1263","SCA",8.5,53,1,1,"GAM Smooth Flow","High"
"VULN-1264","SCA",5.9,32,0.91,1,"GAM Smooth Flow","Medium"
"VULN-1265","SCA",5.9,31,0.91,2,"GAM Smooth Flow","Medium"
"VULN-1266","SCA",2.6,16,0.57,3,"GAM Smooth Flow","Low"
"VULN-1267","SCA",1.2,9,0.28,3,"GAM Smooth Flow","Low"
"VULN-1268","SCA",4.9,26,0.63,2,"GAM Smooth Flow","Medium"
"VULN-1269","SCA",0.7,5,0.22,2,"GAM Smooth Flow","Low"
"VULN-1270","SCA",9.4,63,1,2,"GAM Smooth Flow","Critical"
"VULN-1271","SCA",3.3,19,0.53,1,"GAM Smooth Flow","Low"
"VULN-1272","SCA",2.5,16,0.65,2,"GAM Smooth Flow","Low"
"VULN-1273","SCA",6.5,39,0.76,1,"GAM Smooth Flow","Medium"
"VULN-1274","SCA",9.1,62,0.87,1,"GAM Smooth Flow","Critical"
"VULN-1275","SCA",0.5,2,0.32,1,"GAM Smooth Flow","Low"
"VULN-1276","SCA",3.6,16,0.51,1,"GAM Smooth Flow","Low"
"VULN-1277","SCA",10,67,1,3,"GAM Smooth Flow","Critical"
"VULN-1278","SCA",6.6,39,0.73,1,"GAM Smooth Flow","Medium"
"VULN-1279","SCA",6.3,35,0.64,1,"GAM Smooth Flow","Medium"
"VULN-1280","SCA",0.9,9,0.17,4,"GAM Smooth Flow","Low"
"VULN-1281","SCA",5.7,34,0.81,6,"GAM Smooth Flow","Medium"
"VULN-1282","SCA",6.7,40,0.84,2,"GAM Smooth Flow","Medium"
"VULN-1283","SCA",7.2,44,0.93,1,"GAM Smooth Flow","High"
"VULN-1284","SCA",2.3,14,0.49,4,"GAM Smooth Flow","Low"
"VULN-1285","SCA",9.9,63,1,1,"GAM Smooth Flow","Critical"
"VULN-1286","SCA",5.1,26,0.91,1,"GAM Smooth Flow","Medium"
"VULN-1287","SCA",7.9,49,0.95,3,"GAM Smooth Flow","High"
"VULN-1288","SCA",5.2,27,0.83,5,"GAM Smooth Flow","Medium"
"VULN-1289","SCA",4.8,29,0.56,1,"GAM Smooth Flow","Medium"
"VULN-1290","SCA",6,37,0.92,4,"GAM Smooth Flow","Medium"
"VULN-1291","SCA",4,24,0.63,1,"GAM Smooth Flow","Medium"
"VULN-1292","SCA",0.6,3,0.35,3,"GAM Smooth Flow","Low"
"VULN-1293","SCA",6.1,35,0.67,2,"GAM Smooth Flow","Medium"
"VULN-1294","SCA",1.3,6,0.2,4,"GAM Smooth Flow","Low"
"VULN-1295","SCA",1.3,9,0.32,1,"GAM Smooth Flow","Low"
"VULN-1296","SCA",1.7,11,0.15,2,"GAM Smooth Flow","Low"
"VULN-1297","SCA",5,26,1,2,"GAM Smooth Flow","Medium"
"VULN-1298","SCA",2.5,12,0.17,4,"GAM Smooth Flow","Low"
"VULN-1299","SCA",5.2,30,0.91,1,"GAM Smooth Flow","Medium"
"VULN-1300","SCA",4.4,24,0.74,2,"GAM Smooth Flow","Medium"
"VULN-1301","SCA",5.9,35,0.8,1,"GAM Smooth Flow","Medium"
"VULN-1302","SCA",4.1,23,0.55,3,"GAM Smooth Flow","Medium"
"VULN-1303","SCA",8.7,56,1,2,"GAM Smooth Flow","High"
"VULN-1304","SCA",6.1,36,0.83,1,"GAM Smooth Flow","Medium"
"VULN-1305","SCA",1.2,8,0.32,1,"GAM Smooth Flow","Low"
"VULN-1306","SCA",1,5,0.37,1,"GAM Smooth Flow","Low"
"VULN-1307","SCA",5.1,24,0.93,3,"GAM Smooth Flow","Medium"
"VULN-1308","SCA",8.1,53,1,2,"GAM Smooth Flow","High"
"VULN-1309","SCA",2.4,16,0.46,1,"GAM Smooth Flow","Low"
"VULN-1310","SCA",6.2,32,0.46,2,"GAM Smooth Flow","Medium"
"VULN-1311","SCA",7.8,49,1,2,"GAM Smooth Flow","High"
"VULN-1312","SCA",1.5,9,0.81,2,"GAM Smooth Flow","Low"
"VULN-1313","SCA",8.9,59,1,2,"GAM Smooth Flow","High"
"VULN-1314","SCA",3.1,14,0.49,5,"GAM Smooth Flow","Low"
"VULN-1315","SCA",7.7,50,1,3,"GAM Smooth Flow","High"
"VULN-1316","SCA",2.2,12,0.46,3,"GAM Smooth Flow","Low"
"VULN-1317","SCA",8,53,0.99,4,"GAM Smooth Flow","High"
"VULN-1318","SCA",5.1,26,0.79,1,"GAM Smooth Flow","Medium"
"VULN-1319","SCA",4.7,25,0.67,1,"GAM Smooth Flow","Medium"
"VULN-1320","SCA",0.9,6,0.52,3,"GAM Smooth Flow","Low"
"VULN-1321","SCA",6.3,36,0.74,6,"GAM Smooth Flow","Medium"
"VULN-1322","SCA",6.2,34,0.7,1,"GAM Smooth Flow","Medium"
"VULN-1323","SCA",9.1,61,1,1,"GAM Smooth Flow","Critical"
"VULN-1324","SCA",5.7,34,0.73,3,"GAM Smooth Flow","Medium"
"VULN-1325","SCA",2.8,16,0.64,2,"GAM Smooth Flow","Low"
"VULN-1326","SCA",8.6,57,1,1,"GAM Smooth Flow","High"
"VULN-1327","SCA",1.9,14,0.46,1,"GAM Smooth Flow","Low"
"VULN-1328","SCA",9.3,62,1,1,"GAM Smooth Flow","Critical"
"VULN-1329","SCA",3.9,22,0.52,1,"GAM Smooth Flow","Low"
"VULN-1330","SCA",4.1,23,0.55,6,"GAM Smooth Flow","Medium"
"VULN-1331","SCA",4.1,18,0.8,1,"GAM Smooth Flow","Medium"
"VULN-1332","SCA",2,14,0.34,2,"GAM Smooth Flow","Low"
"VULN-1333","SCA",1.4,12,0.62,6,"GAM Smooth Flow","Low"
"VULN-1334","SCA",9.3,61,0.8,5,"GAM Smooth Flow","Critical"
"VULN-1335","SCA",2.7,15,0.26,1,"GAM Smooth Flow","Low"
"VULN-1336","SCA",2.4,14,0.33,1,"GAM Smooth Flow","Low"
"VULN-1337","SCA",1,6,0.23,1,"GAM Smooth Flow","Low"
"VULN-1338","SCA",7.4,44,0.77,4,"GAM Smooth Flow","High"
"VULN-1339","SCA",5.4,33,0.71,1,"GAM Smooth Flow","Medium"
"VULN-1340","SCA",9.2,64,0.8,3,"GAM Smooth Flow","Critical"
"VULN-1341","SCA",5.7,32,0.84,2,"GAM Smooth Flow","Medium"
"VULN-1342","SCA",0.2,2,0.27,1,"GAM Smooth Flow","Low"
"VULN-1343","SCA",0.1,4,0.22,1,"GAM Smooth Flow","Low"
"VULN-1344","SCA",4.9,22,0.76,1,"GAM Smooth Flow","Medium"
"VULN-1345","SCA",7.8,52,0.74,1,"GAM Smooth Flow","High"
"VULN-1346","SCA",5.6,34,0.79,2,"GAM Smooth Flow","Medium"
"VULN-1347","SCA",8.8,61,1,1,"GAM Smooth Flow","High"
"VULN-1348","SCA",8,49,0.91,4,"GAM Smooth Flow","High"
"VULN-1349","SCA",8.3,55,0.98,2,"GAM Smooth Flow","High"
"VULN-1350","SCA",3.9,24,0.64,2,"GAM Smooth Flow","Low"
